"state_long","state_short","elec_year","gelec_dem","gelec_rep","gelec_oth","temp_mean","temp_max_max","temp_max_mean","gelec_total","rep_share","dem_share","ln_temp_mean","ln_temp_max_max","ln_temp_max_mean"
"Pennsylvania","PA",2012,3021364,2509132,98995,39.0412393333333,52,48,5629491,0.445712054606713,0.536702874203014,3.6646185062596,3.95124371858143,3.87120101090789
"Rhode Island","RI",2012,271034,146222,933,34.0104165,45,43.75,418189,0.349655299398119,0.648113651961195,3.52666684534224,3.80666248977032,3.77849161280362
"Tennessee","TN",2012,705882,1506443,109152,42.7541668,52,48.16,2321477,0.648915754926713,0.304065902871319,3.75546665963882,3.95124371858143,3.87452880100057
"Texas","TX",2012,3194927,4440137,229758,63.4510077657658,85,74.8558558558559,7864822,0.56455657864857,0.406230045638668,4.15026807686745,4.44265125649032,4.31556434235265
"Utah","UT",2012,301873,657608,47420,50.8859141034483,75,63.3103448275862,1006901,0.653100950341692,0.299804052235523,3.92958614858686,4.31748811353631,4.14804874119396
"Vermont","VT",2012,0,72898,219864,30.5308334,40.8,38.72,292762,0.249000894924888,0,3.41873710411414,3.70868208141012,3.65635626240838
"Virginia","VA",2012,2010067,1785542,6587,32.539394,45.7,39.5666666666667,3802196,0.469608089640829,0.52865949046288,3.48245147838453,3.82209829790016,3.67798701294751
"Washington","WA",2012,1855493,1213924,,49.4787946875,63,56.4375,3069417,0.39549008818287,0.60450991181713,3.90154418763785,4.14313472639153,4.0331338311772
"West Virginia","WV",2012,399898,240787,19517,36.458333,49,49,660202,0.364717162323047,0.605720673369666,3.59617004686681,3.89182029811063,3.89182029811063
"Wisconsin","WI",2012,1547104,1380126,82181,36.43229175,44,39.5,3009411,0.458603361255741,0.514088637278192,3.59545551735915,3.78418963391826,3.67630067190708
"Wyoming","WY",2012,53019,185250,6593,44.9056006746988,65,58.5180722891566,244862,0.756548586550792,0.216526043240683,3.8045625235995,4.17438726989564,4.06933563454915
"Alabama","AL",2014,,795606,22484,51.30625,65.5,65.2,818090,0.97251647129289,,3.93781257711444,4.18205014264121,4.17745946893261
"Alaska","AK",2014,129431,135445,17524,19.313889,40,24.9,282400,0.479621104815864,0.45832507082153,2.96082447440177,3.68887945411394,3.21486780347066
"Arkansas","AR",2014,334174,478819,34512,53.708333,67,67,847505,0.564974837906561,0.394303278446735,3.98356816638488,4.20469261939097,4.20469261939097
"Colorado","CO",2014,944203,983891,112964,45.9657738214286,70,62.5714285714286,2041058,0.482049505697535,0.462604688352805,3.82789707218823,4.24849524204936,4.13630876132113
"Delaware","DE",2014,130655,98823,4560,42.041667,48,48,234038,0.422251941992326,0.558264042591374,3.73866119793431,3.87120101090789,3.87120101090789
"Georgia","GA",2014,1160811,1358088,48906,46.2142857142857,61,60.2857142857143,2567805,0.528890628377155,0.452063532861724,3.83328896488564,4.11087386417331,4.0990951649807
"Hawaii","HI",2014,246827,98006,8941,66.6208333333333,81,72.3333333333333,353774,0.277029968284837,0.697696834702381,4.19901734144343,4.39444915467244,4.28128506487235
"Idaho","ID",2014,151574,285596,,41.0383928571429,62,52.5071428571429,437170,0.653283619644532,0.346716380355468,3.71450803969472,4.12713438504509,3.96094921476478
"Illinois","IL",2014,1929637,1538522,135360,43.94895825,52,50,3603519,0.426949878715778,0.535486839392272,3.78302892077859,3.95124371858143,3.91202300542815
"Iowa","IA",2014,494370,588575,46755,41.5737179230769,50,47.6923076923077,1129700,0.521001150747986,0.437611755333274,3.72746818691443,3.91202300542815,3.8647701205776
"Kansas","KS",2014,,460350,405841,,,,866191,0.531464769317622,,,,
"Kentucky","KY",2014,584698,806787,44383,45.0608975384615,59,56,1435868,0.561881036418389,0.407208740636326,3.80801485354655,4.07753744390572,4.02535169073515
"Louisiana","LA",2014,1200443,1532156,13034,56.3091668,70,68.28,2745633,0.558033794028554,0.437219031094105,4.03085734249572,4.24849524204936,4.22361689792624
"Maine","ME",2014,190244,413495,269,36.0625,43,41,604008,0.684585303505914,0.314969338154462,3.58525354426832,3.76120011569356,3.71357206670431
"Massachusetts","MA",2014,1289944,791950,3078,40.1625457692308,55,48.0769230769231,2084972,0.379837235224262,0.618686485957605,3.69293486404247,4.00733318523247,3.87280229227486
"Michigan","MI",2014,1704936,1290199,126640,40.0266153947368,46,43.5,3121775,0.413290195481737,0.546143139720191,3.68954461771199,3.8286413964891,3.77276093809464
"Minnesota","MN",2014,1053205,850227,78096,15.6666665,33,19.5,1981528,0.42907645009306,0.531511540588879,2.75153530240365,3.49650756146648,2.9704144655697
"Mississippi","MS",2014,239439,378481,13938,53.991667,68.9,68.9,631858,0.598996926524631,0.378944319768049,3.9888297198417,4.23265617801961,4.23265617801961
"Montana","MT",2014,148184,213709,7933,43.4507575454545,68,57.9090909090909,369826,0.577863643983928,0.400685727882842,3.77162828643754,4.21950770517611,4.05887438277379
"Nebraska","NE",2014,170127,347636,22574,43.516667,48,48,540337,0.643368860544438,0.314853508088471,3.77314401413693,3.87120101090789,3.87120101090789
"New Hampshire","NH",2014,251184,235347,1628,37.38020825,49,44,488159,0.482111361257295,0.514553659770689,3.62114137317295,3.89182029811063,3.78418963391826
"New Jersey","NJ",2014,1043866,791297,34372,39.6979165,47,46,1869535,0.42325872476311,0.558355954822991,3.68129870520765,3.85014760171006,3.8286413964891
"New Mexico","NM",2014,286409,229097,,53.0372806842105,70,65.2105263157895,515506,0.44441189821263,0.55558810178737,3.97099507541191,4.24849524204936,4.1776209024627
"North Carolina","NC",2014,1377651,1423259,114371,45.5032051538462,60,58.0769230769231,2915281,0.488206454197726,0.472561993166353,3.81778276641759,4.0943445622221,4.06176839178749
"Oklahoma","OK",2014,472230,1115168,54225,51.1496211363636,64,58.2727272727273,1641623,0.679308221193295,0.287660443353925,3.93475508545649,4.15888308335967,4.0651341841223
"Oregon","OR",2014,814537,538847,108234,46.8491201428571,68,61.3571428571429,1461618,0.368664726351208,0.557284461466676,3.8469322282062,4.21950770517611,4.116711592369
"Rhode Island","RI",2014,223675,92684,539,39.3867755,50,48.5,316898,0.29247265681702,0.705826480444812,3.67343011275363,3.91202300542815,3.88156379794344
"South Carolina","SC",2014,916309,1430156,132592,48.291667,61,61,2479057,0.576895166186175,0.36961998050065,3.87725901989431,4.11087386417331,4.11087386417331
"South Dakota","SD",2014,82456,140741,56215,46.49999975,68,59.5,279412,0.503704207406983,0.295105435700686,3.83945230721697,4.21950770517611,4.08597631255158
"Tennessee","TN",2014,437848,850087,86130,45.425,59,53.5,1374065,0.618665783641967,0.318651592173587,3.81606261428223,4.07753744390572,3.97968165390196
"Texas","TX",2014,1597387,2861531,189440,59.7867867837838,75,69.027027027027,4648358,0.615600390503485,0.343645433505767,4.09078467974912,4.31748811353631,4.23449812394826
"Virginia","VA",2014,1073667,1055940,54866,37.2583333333333,54.3,48.1,2184473,0.483384321985211,0.491499322719942,3.61787563345193,3.99452422693989,3.87328217711172
"West Virginia","WV",2014,156360,281820,15509,41.041667,51,51,453689,0.621174416836203,0.344641373275526,3.71458781894597,3.93182563272433,3.93182563272433
"Wyoming","WY",2014,29377,121554,17459,41.4003622826087,65,56.8152173913044,168390,0.721859967931587,0.17445810321278,3.72328963158063,4.17438726989564,4.03980420166388
"Arizona",,2008,,,,66.8571427857143,81,77.5,,,,4.20255814579396,4.39444915467244,4.3502779363593
"California",,2008,,,,54.0478712649007,81,60.8741721854305,,,,3.98987015875645,4.39444915467244,4.10880898271367
"Connecticut",,2008,,,,52.4038461538462,68,62.6923076923077,,,,3.95897998851592,4.21950770517611,4.13823875577933
"Country Of Mexico",,2008,,,,49.0327993333333,83,56.3333333333333,,,,3.89248944832933,4.4188406077966,4.03128642625496
"District Of Columbia",,2008,,,,54.958333,58.6,58.6,,,,4.00657531630417,4.07073469658297,4.07073469658297
"Florida",,2008,,,,67,73,70,,,,4.20469261939097,4.29045944114839,4.24849524204936
"Hawaii",,2008,,,,63.0625,70,69.5,,,,4.14412629811383,4.24849524204936,4.24132675257075
"Indiana",,2008,,,,57.4755746896552,76,70.7931034482759,,,,4.05136006954932,4.33073334028633,4.25976158703246
"Maryland",,2008,,,,53.4333333,60,57.5,,,,3.97843477032357,4.0943445622221,4.0517849478033
"Missouri",,2008,,,,61.90972225,76,74.1666666666667,,,,4.12567723116992,4.33073334028633,4.30631481293819
"Nevada",,2008,,,,40.745471,50,47.5,,,,3.70734469240595,3.91202300542815,3.8607297110406
"New York",,2008,,,,52.8605768846154,75,65.1153846153846,,,,3.96765782255994,4.31748811353631,4.17616084411165
"North Dakota",,2008,,,,46.30223425,60,56,,,,3.83519021586743,4.0943445622221,4.02535169073515
"Ohio",,2008,,,,56.145833,74,72.5,,,,4.02795246649829,4.30406509320417,4.28358656186063
"Pennsylvania",,2008,,,,58.416667,65,65,,,,4.06760124295272,4.17438726989564,4.17438726989564
"Rhode Island",,2008,,,,51.7083335,65,63.25,,,,3.94561895807987,4.17438726989564,4.14709512760763
"Utah",,2008,,,,44.6712962222222,59,54.1111111111111,,,,3.79933115267802,4.07753744390572,3.99103954574637
"Vermont",,2008,,,,50.5533332,64.6,60.84,,,,3.9230288819672,4.16821441078856,4.10824746739109
"Washington",,2008,,,,43.3285256923077,54.2,47.7153846153846,,,,3.76881121007043,3.9926809084456,3.86525387451753
"Wisconsin",,2008,,,,61.4398148333333,77,72,,,,4.11805807505449,4.34380542185368,4.27666611901606
"Country Of Mexico",,2010,,,,56.1441511428571,92,66.5714285714286,,,,4.02792251089439,4.52178857704904,4.19827548507033
"District Of Columbia",,2010,,,,43.145833,50.6,50.6,,,,3.76458584276196,3.92395157629342,3.92395157629342
"Maine",,2010,,,,37.236111,45,42,,,,3.61727901623594,3.80666248977032,3.73766961828337
"Massachusetts",,2010,,,,40.0224357692308,50,47.0769230769231,,,,3.68944019110233,3.91202300542815,3.85178292505079
"Michigan",,2010,,,,37.9750000571429,52,48.1142857142857,,,,3.63692804998659,3.95124371858143,3.87357913331286
"Minnesota",,2010,,,,42.0416665,54,53.5,,,,3.73866118604134,3.98898404656427,3.97968165390196
"Montana",,2010,,,,52.1296297777778,73,66.5555555555556,,,,3.95373349685143,4.29045944114839,4.19803702077923
"New Jersey",,2010,,,,37.875,49,49,,,,3.63429126382953,3.89182029811063,3.89182029811063
"New Mexico",,2010,,,,51.9890350526316,71,65.4736842105263,,,,3.95103283197394,4.26267987704132,4.18164829413268
"Rhode Island",,2010,,,,39.608696,51,49.25,,,,3.67904869011237,3.93182563272433,3.8969093676181
"Tennessee",,2010,,,,53.38068175,68,61.5,,,,3.97744891553214,4.21950770517611,4.11903717481247
"Texas",,2010,,,,60.8940625405405,81,67.5045045045045,,,,4.10913567473366,4.39444915467244,4.21219432905198
"Virginia",,2010,,,,35.5,50,44,,,,3.56953269648137,3.91202300542815,3.78418963391826
"Wyoming",,2010,,,,46.8826086714286,76,61.8,,,,3.84764678944219,4.33073334028633,4.12390336446365
"Alabama",,2012,,,,9.658333,12.3,12.3,,,,2.26782106604519,2.50959926237837,2.50959926237837
"Alaska",,2012,,,,-9.958333,-6,-6,,,,,,
"Arkansas",,2012,,,,52.916667,63,63,,,,3.9687183554039,4.14313472639153,4.14313472639153
"Colorado",,2012,,,,48.228579,71,64.2413793103448,,,,3.875951770657,4.26267987704132,4.16264754061511
"Country Of Mexico",,2012,,,,50.525,85,63.4,,,,3.92246826328968,4.44265125649032,4.14946386144318
"District Of Columbia",,2012,,,,39.7125,45.7,45.7,,,,3.68166599959563,3.82209829790016,3.82209829790016
"Georgia",,2012,,,,47.838541875,56,51.125,,,,3.86783162997637,4.02535169073515,3.93427361436297
"Idaho",,2012,,,,49.9186274705882,77,63.4470588235294,,,,3.91039422910363,4.34380542185368,4.15020583884691
"Illinois",,2012,,,,39.1444445,47,44.5333333333333,,,,3.66725850943022,3.85014760171006,3.79623797243444
"Iowa",,2012,,,,41.1473430833333,54,45.3333333333333,,,,3.7171593584124,3.98898404656427,3.81404259706794
"Kentucky",,2012,,,,43.6160712857143,56,52.2857142857143,,,,3.77542568990646,4.02535169073515,3.95672318434605
"Louisiana",,2012,,,,56.1183336,65.3,64.1,,,,4.0274625612795,4.17899203628239,4.16044436392662
"New Hampshire",,2012,,,,30.0668276666667,47,41.5555555555556,,,,3.40342249315332,3.85014760171006,3.72703122007831
"North Carolina",,2012,,,,39.2638889333333,48,43.3333333333333,,,,3.67030523980948,3.87120101090789,3.76892216178747
"Oklahoma",,2012,,,,51.0601851111111,76,66.7222222222222,,,,3.93300503717126,4.33073334028633,4.20053806418382
"Oregon",,2012,,,,51.75,72,61.5,,,,3.94642443214548,4.27666611901606,4.11903717481247
"South Carolina",,2012,,,,46.583333,52,52,,,,3.84124281621146,3.95124371858143,3.95124371858143
"South Dakota",,2012,,,,45.92708325,61,54.75,,,,3.82705499207563,4.11087386417331,4.00277736869661
"Arizona",,2014,,,,65.679687625,89,81.25,,,,4.18478970911886,4.48863636973214,4.39753082120985
"California",,2014,,,,64.137444975,92.2,79.1816666666667,,,,4.16102835834528,4.52396013056255,4.37174479054292
"Connecticut",,2014,,,,41.0565475,51,47.7857142857143,,,,3.71495032378858,3.93182563272433,3.86672673051297
"District Of Columbia",,2014,,,,44.3458335,51.1,51.05,,,,3.79201875845739,3.93378449720966,3.93280554461067
"Florida",,2014,,,,66.3333335,83,79,,,,4.19469253856895,4.4188406077966,4.36944785246702
"Indiana",,2014,,,,42.781746047619,57,48.2380952380952,,,,3.75611151739872,4.04305126783455,3.87614906652526
"Maryland",,2014,,,,40.686111,51,47.8666666666667,,,,3.70588678113722,3.93182563272433,3.86841936794601
"Missouri",,2014,,,,47.90625,70,55.45,,,,3.86924597607209,4.24849524204936,4.01548171379638
"Nevada",,2014,,,,57.1698719230769,81,71.6153846153846,,,,4.04602704499135,4.39444915467244,4.27130991981553
"New York",,2014,,,,38.8205126923077,48,44.1538461538462,,,,3.65894878456524,3.87120101090789,3.78768003885803
"North Dakota",,2014,,,,35.172619,54,45.4285714285714,,,,3.56026791058855,3.98898404656427,3.81614123372486
"Ohio",,2014,,,,41.4020835,56.1,50.525,,,,3.72333120565191,4.02713581252865,3.92246826328968
"Pennsylvania",,2014,,,,41.3791665,50.9,49.4375,,,,3.72277752953358,3.92986292355648,3.90070924552787
"Puerto Rico",,2014,,,,80.833333,90,90,,,,4.39238941758572,4.49980967033027,4.49980967033027
"Utah",,2014,,,,47.39434525,76,59.5714285714286,,,,3.85850292306119,4.33073334028633,4.08717607274349
"Vermont",,2014,,,,36.4474998,43.5,41.76,,,,3.59587286350949,3.77276093809464,3.73193894357438
"Washington",,2014,,,,43.8553921176471,57,51.7058823529412,,,,3.7808976785935,4.04305126783455,3.94557155362896
"Wisconsin",,2014,,,,38.5922780625,46,42,,,,3.65305220626378,3.8286413964891,3.73766961828337
